"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_5kTKi9blLwkkvhD",3,"phrasal","Any “clinic” including a wellness spa","Broad",32.692,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_6b1M5vwUZMjTXSx",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",39.048,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_5TvnUZHWsZDyOLw",10,"simple","Any “machine” including a small sewing machine","Broad",22.702,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_1fpWlWCkLipXyN3",3,"baseline","Any “clinic” including a wellness spa","Broad",28.126,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_68VcuFBDlDjCaI8",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",43.983,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_7zo5HqjXm6szuoR",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",57.493,"Housing subsidy","I do not have any comments.","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_69cshSdPuV3Q84n",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",25.952,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_50PrF7raLhie3bt",9,"phrasal","Any “sign” including a happy birthday banner","Broad",30.1,"IT","Overall the policy in question states any sign. Even though there was no financial benefit of the sign it still violates policy","No legal education or work experience","Conservative/Republican","IT",1
"R_5rxq7vZrILJEXFW",8,"baseline","Any “tank” including a fish tank","Broad",40.68,"An aquarium","n/a","No legal education or work experience","Progressive (most liberal)","An aquarium",1
"R_6qO1ibVvseFxxgs",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",63.92,"Bicycle","no","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_3QRoRLi7PFM1HiA",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",32.294,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_3Br4NNh3kS18uXQ",12,"simple","Any “vehicle” including a bicycle","Broad",40.086,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_5aFcWGyXeCziosI",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",40.606,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_50CTDVVvvODoRHZ",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",30.321,"Nicholas","","Legal work experience but no law degree","Progressive (most liberal)","Nicholas",1
"R_51aAl3P5Iq5ftvC",10,"baseline","Any “machine” including a small sewing machine","Broad",26.875,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_1wMay6ZwZbZeG77",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",48.053,"An aquarium","","No legal education or work experience","Progressive (most liberal)","An aquarium",1
"R_6M0PjbjpaE3WXtb",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",21.94,"Gun","Thanks for doing studies like this I use the money to help feed my cat and myself while times are tough and it really does help. Best of luck with your work!","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_65ucGc1GB0j2Zsw",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",40.574,"Joshua","","No legal education or work experience","Progressive (most liberal)","Joshua",1
"R_6pWePtilVfcZkZb",6,"simple","Any “waste” including used gift-wrapping paper","Broad",21.11,"At the campground","","No legal education or work experience","Lean Conservative","At the campground",1
"R_59oIBLcThbzCSac",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",54.506,"Housing subsidy","","Some law-related coursework","Progressive (most liberal)","Housing subsidy",1
"R_5YDHqBJgGY9082g",10,"phrasal","Any “machine” including a small sewing machine","Broad",63.89,"Sewing machine","None.  Thank you.","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_78NbUNg32qA2wOI",7,"baseline","Any “detailed representations” including an intricate painting","Broad",43.42,"Joe","","No legal education or work experience","Lean Liberal","Joshua",0
"R_6CftQwWrWA6vXpo",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",44.881,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_1eOqppvjrXlpD9z",9,"phrasal","Any “sign” including a happy birthday banner","Broad",20.826,"IT","","No legal education or work experience","Moderate/Centrist","IT",1
"R_1LIPY4VmqebuU4u",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",37.586,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_1xavkOTzWWdpK8N",4,"simple","Any “relinquishment” including a temporary lease","Broad",61.997,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_6rU5aaAnUoHtzSP",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",47.004,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_1K5BqgAdqkaVRD3",7,"simple","Any “detailed representations” including an intricate painting","Broad",28.835,"Joshua","","No legal education or work experience","Lean Liberal","Joshua",1
"R_52xTyNMUOdhbdZl",4,"baseline","Any “relinquishment” including a temporary lease","Broad",21.066,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_6RpX0rZbexHVyVd",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",37.47,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_7jkPZPh2cHPOkkV",4,"baseline","Any “relinquishment” including a temporary lease","Broad",71.746,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_3jx3v9JB1gmQY51",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",22.759,"An aquarium","","No legal education or work experience","Progressive (most liberal)","An aquarium",1
"R_7tXS5AmeN3qksOR",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",120.463,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_581b9VvCigdLMcx",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",24.038,"Orca","n/a","No legal education or work experience","Lean Liberal","Orca",1
"R_6x66QxyEHUQ0JEZ",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",31.696,"In her purse","","No legal education or work experience","Lean Liberal","In her purse",1
"R_5lWXXCK32oU3N2g",12,"phrasal","Any “vehicle” including a bicycle","Broad",27.882,"Bicycle","None","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_5FKig8IoQq7ls0P",10,"phrasal","Any “machine” including a small sewing machine","Broad",43.164,"Sewing machine","","No legal education or work experience","Right-wing (most conservative)","Sewing machine",1
"R_6EDSLydoYZJdhzG",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",30.365,"Orca","N/A","No legal education or work experience","Moderate/Centrist","Orca",1
"R_6abG0UAQamOheh2",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",37.355,"Housing subsidy","N/A","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_3jro1WLW2jIjjNL",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",22.052,"In her purse","N/A","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_5zIUiw2rcI4mJP1",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",30.691,"Power plant","","No legal education or work experience","Conservative/Republican","Power plant",1
"R_3GnXQ9FR7yZB43L",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",49.594,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_5f726YZMFXIC9q9",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",42.072,"Bicycle","","No legal education or work experience","Right-wing (most conservative)","Bicycle",1
"R_7BQsCeND9FvQ8Dv",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",28.098,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_6FXV8Q8CKdQOeOC",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",42.96,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_67D6wKKN9E0k4N5",6,"baseline","“Waste” that could attract animals like food or drinks","Restricted",22.686,"At the campground","","Other (please specify)","Liberal/Democrat","At the campground",1
"R_6irCDdF5o2ToiHL",6,"simple","Any “waste” including used gift-wrapping paper","Broad",41.128,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_5CVPzrAj1E5XrJl",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",51.529,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_6O9SqsCQnER1REl",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",35.158,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_50cEwdE6sLNUmR3",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",41.84,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_6iafBVTf2T8hTHo",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",43.642,"Orca","n/a","Some law-related coursework","Moderate/Centrist","Orca",1
"R_3327IEF702L6dYB",6,"simple","Any “waste” including used gift-wrapping paper","Broad",41.356,"At the campground","straightforward survey.","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_6V2yFsj3EVdYSE9",3,"simple","Any “clinic” including a wellness spa","Broad",41.958,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_7yhKpegwAGGKw4V",8,"simple","Any “tank” including a fish tank","Broad",47.907,"An aquarium","","No legal education or work experience","Lean Conservative","An aquarium",1
"R_6Kyd6W0vKawgIxZ",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",35.041,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_6KBANQQO2Cv1em8",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",17.276,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_5flR77Y97iZAKYX",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",21.063,"Orca","harm from not cleaning the tank is neglect","Legal work experience but no law degree","Lean Conservative","Orca",1
